Node Index, Amplitude of Voltage, Angle of Voltage
185,1.022554,-0.072236
186,1.051000,-0.008391
187,1.056017,-0.061122
188,1.065027,-0.005597
189,1.043500,0.159703
190,1.070724,0.087815
191,1.004173,-0.213958
192,1.021870,-0.205487
193,1.005923,-0.178270
194,1.081186,0.129739
195,1.018745,-0.093911
196,1.003082,-0.125453
197,1.049356,-0.119158
198,1.073364,-0.055832
199,1.052200,0.076204
200,1.001727,-0.171627
201,1.060185,-0.033666
202,1.011445,-0.432624
203,1.055100,-0.338660
204,1.012295,-0.458018
205,1.116601,-0.325726
206,1.085714,-0.347778
207,1.004536,-0.382654
208,0.962560,-0.422371
209,0.983618,-0.493537
210,1.001375,-0.476312
211,1.025086,-0.480693
212,1.011611,-0.450136
213,1.039925,-0.372758
214,0.996150,-0.283649
215,1.000159,-0.331144
216,1.044038,-0.364001
217,1.024977,-0.356848
218,0.959864,-0.183515
219,1.075853,-0.346445
220,1.078152,-0.328865
221,1.010000,-0.342337
222,0.993000,-0.282766
223,0.965500,-0.355634
224,0.980235,-0.414396
225,0.994500,-0.322116
226,1.039027,-0.294681
227,1.010003,-0.296316
228,0.988791,-0.325890
229,0.975221,-0.330928
230,1.037805,0.121633
231,0.997140,0.077803
232,1.001000,-0.055318
233,0.979046,0.015494
234,1.053685,0.054723
235,1.011234,0.091096
236,1.065684,-0.212334
237,0.985790,-0.425807
238,1.060681,-0.220728
239,1.049481,-0.290664
240,1.083702,-0.256852
241,1.056167,-0.051484
242,1.046310,-0.214680
243,1.043527,-0.142970
244,0.999291,-0.496038
245,0.983400,-0.455802
246,1.053201,-0.370297
247,1.001616,-0.416081
248,1.101134,-0.320053
249,1.009225,-0.245584
250,1.032667,-0.222463
251,1.005635,-0.447077
252,0.995104,-0.425103
253,0.942082,-0.081139
254,1.043500,0.080128
255,0.960050,-0.161626
256,0.989400,-0.255629
257,1.027133,-0.190616
258,1.052800,0.064814
259,1.022078,-0.226646
260,1.014313,-0.133697
261,0.956238,-0.122378
262,1.060123,-0.023290
263,0.985458,-0.402821
264,1.052119,-0.366704
265,1.008000,-0.355402
266,1.055894,-0.345016
267,0.971371,-0.341056
268,0.969949,-0.354080
269,1.041489,-0.197365
270,1.015263,-0.332274
271,1.028605,-0.314434
272,1.000233,0.093419
273,1.006722,0.030535
274,1.098861,-0.138805
275,1.062731,-0.301269
276,1.032941,-0.029217
277,1.013473,-0.432373
278,1.025748,-0.227745
279,0.991482,-0.345119
280,1.010624,-0.263110
281,1.043500,0.058868
282,1.023710,-0.014400
283,0.987001,-0.391367
284,1.092266,-0.353839
285,1.085299,-0.351744
286,1.057954,-0.156563
287,1.069513,-0.186849
288,1.013740,-0.104503
289,1.015000,-0.329217
290,1.079452,-0.353237
291,1.040288,-0.198319
292,1.006470,0.100876
293,0.994642,-0.412473
294,1.017309,-0.229363
295,1.060023,-0.036504
296,1.065409,-0.070897
297,1.050325,-0.197047
298,1.022101,-0.383856
299,1.028511,0.082804
300,1.021418,-0.330115
